title,stars,text,cleaned_text
Mayo Hospital,4,"Mayo Hospital is one of the oldest and largest public hospitals in Pakistan and serves thousands of patients every day. The biggest advantage is that many highly qualified doctors, specialists, and surgeons are available here. For people who cannot afford private hospitals, it provides access to treatment that might otherwise be out of reach. The hospital has several specialized departments and has helped countless patients over the years.

However, the hospital also faces serious challenges due to the huge number of patients it receives daily. Long waiting times, overcrowding, and administrative delays are common. Cleanliness and maintenance need improvement in some areas, and patients often have to spend considerable time moving between departments. Some visitors also report communication and management issues.

Overall, Mayo Hospital remains a vital healthcare institution with skilled medical professionals and life-saving services, but improvements in patient management, cleanliness, and infrastructure would make the experience much better for patients and their families.","mayo hospital is one of the oldest and largest public hospitals in pakistan and serves thousands of patients every day. the biggest advantage is that many highly qualified doctors, specialists, and surgeons are available here. for people who cannot afford private hospitals, it provides access to treatment that might otherwise be out of reach. the hospital has several specialized departments and has helped countless patients over the years. however, the hospital also faces serious challenges due to the huge number of patients it receives daily. long waiting times, overcrowding, and administrative delays are common. cleanliness and maintenance need improvement in some areas, and patients often have to spend considerable time moving between departments. some visitors also report communication and management issues. overall, mayo hospital remains a vital healthcare institution with skilled medical professionals and life-saving services, but improvements in patient management, cleanliness, and infrastructure would make the experience much better for patients and their families."
Mayo Hospital,1,"Very bad situation
Too rushy because of poor management around
No proper signs for the specific department you want to visit
A very small window for the patient to get a receipt
Just a sad picture of our government hospital’s
I don’t know how dr are okay with all this situation",very bad situation too rushy because of poor management around no proper signs for the specific department you want to visit a very small window for the patient to get a receipt just a sad picture of our government hospitals i dont know how dr are okay with all this situation
Mayo Hospital,5,"This hospital is very good and excellent services,care in this hospital I like it very much 👍👍","this hospital is very good and excellent services,care in this hospital i like it very much"
Mayo Hospital,5,Staff is very co operative in Mayo Hospital.,staff is very co operative in mayo hospital.
Mayo Hospital,1,"Bhottt he ghatya service Hy idhr.. please folks avoid this hospital
Emergency Mae seniors doctors he available nahe hotay..
Please save your patient",bhottt he ghatya service hy idhr.. please folks avoid this hospital emergency mae seniors doctors he available nahe hotay.. please save your patient
Mayo Hospital,2,"Terrible condition. The hospital is overcrowded with people all across the Punjab. 40 years of governance and still there is a severe lack of health facilities in major cities. It looks like a fish market more than a hospital. Doctors try their best to accommodate patients but they are not robots. This crowd can't be handled by any normal human being. It's a time to take a serious step to improve health facilities in Punjab by ""Sub Di Maa"" & ""Sub Da Piyo""","terrible condition. the hospital is overcrowded with people all across the punjab. 40 years of governance and still there is a severe lack of health facilities in major cities. it looks like a fish market more than a hospital. doctors try their best to accommodate patients but they are not robots. this crowd can't be handled by any normal human being. it's a time to take a serious step to improve health facilities in punjab by ""sub di maa"" ""sub da piyo"""
Mayo Hospital,5,Staff (Doctors ) is very cooperative but lower administration (sweepers) always pretend for monetary gains .,staff doctors is very cooperative but lower administration sweepers always pretend for monetary gains .
Mayo Hospital,1,No caring nurses and abuse language with public,no caring nurses and abuse language with public
Mayo Hospital,1,"Zero performance,I visit for rhinoplasty today And they give date of 2031🤨🤨🧐🧐","zero performance,i visit for rhinoplasty today and they give date of 2031"
Mayo Hospital,1,Dr is very Good and Staf is very bad,dr is very good and staf is very bad
Mayo Hospital,1,"Very very poor experiences in eye department.
The staff is really ugly behavior.
Really disappointed and now I start private treatment which cost me around 1 million but I reject the operation due to bad behavior. Assistant take patient like animals not man's or women's.",very very poor experiences in eye department. the staff is really ugly behavior. really disappointed and now i start private treatment which cost me around 1 million but i reject the operation due to bad behavior. assistant take patient like animals not man's or women's.
Government Teaching Hospital Shahdara,4,"Good service overall, recommended by me.","good service overall, recommended by me."
Government Teaching Hospital Shahdara,1,"I had a terrible experience at Government Teaching Hospital Shahdara. The nursing staff is extremely rude and unprofessional. Doctors delay deliveries, which caused serious health complications for my wife.The worst part is the constant demand for bribes. From checkups to the gate guards, everyone asks for money. Even after delivery, staff members harass you for 'kharcha pani' (tips/bribes). It is a hub of corruption where no one cares about the patient without money. I urge CM Maryam Nawaz and the Health Department to take strict action against this","i had a terrible experience at government teaching hospital shahdara. the nursing staff is extremely rude and unprofessional. doctors delay deliveries, which caused serious health complications for my wife.the worst part is the constant demand for bribes. from checkups to the gate guards, everyone asks for money. even after delivery, staff members harass you for 'kharcha pani' tipsbribes. it is a hub of corruption where no one cares about the patient without money. i urge cm maryam nawaz and the health department to take strict action against this"
Government Teaching Hospital Shahdara,1,"About today I want to tell you something...Hospital staff themselves were behaving very rudely...They treat their job and all patients in such way that people would never want to come back again...I think they need proper training in greetings & there is a need to hire educated staff instead of such people...
Today I went to Room No 4 for my father X-ray...
There person told me to come back after 1 hour...I asked why it would take so long...
He replied It takes this much time...If you want to get it done then do it otherwise you can leave
I did not feel bad about what he said because I understand the culture in Pakistan...
But I felt hurt when I told his senior about it & he responded by saying I work with him for 12 hours instead of you so whatever he is saying is correct & abuse me without any reason I'm shocked
All staff was unpredictable...I seems these uneducated people need to be made to understand patient comes to hospital out of compulsion... 👎👎🤐",about today i want to tell you something...hospital staff themselves were behaving very rudely...they treat their job and all patients in such way that people would never want to come back again...i think they need proper training in greetings there is a need to hire educated staff instead of such people... today i went to room no 4 for my father x-ray... there person told me to come back after 1 hour...i asked why it would take so long... he replied it takes this much time...if you want to get it done then do it otherwise you can leave i did not feel bad about what he said because i understand the culture in pakistan... but i felt hurt when i told his senior about it he responded by saying i work with him for 12 hours instead of you so whatever he is saying is correct abuse me without any reason i'm shocked all staff was unpredictable...i seems these uneducated people need to be made to understand patient comes to hospital out of compulsion...
Government Teaching Hospital Shahdara,4,"Most departments do their job well, on the other hand some of nurses and even doctor show rude behaviour, like if u ask them twice or having a complaint about the queue.","most departments do their job well, on the other hand some of nurses and even doctor show rude behaviour, like if u ask them twice or having a complaint about the queue."
Government Teaching Hospital Shahdara,1,May Allah never bring anyone to a hospital like this. The entire staff acts as if they own the place and treats the patients like their slaves.,may allah never bring anyone to a hospital like this. the entire staff acts as if they own the place and treats the patients like their slaves.
Government Teaching Hospital Shahdara,5,"Everything is good, Especially doctor behave is very polite and Professional , Doctor and other staff is very train","everything is good, especially doctor behave is very polite and professional , doctor and other staff is very train"
Mayo Hospital,1,I was there to check on my uncle. constant speaker announcement of Maryam Nawaz brag talk made me also sick and no seating area for visitors,i was there to check on my uncle. constant speaker announcement of maryam nawaz brag talk made me also sick and no seating area for visitors
Mayo Hospital,4,"One of the old and largest hospitals of Lahore, offering treatment and surgeries, catering to the patients from all over Punjab. KE medical college attached to it","one of the old and largest hospitals of lahore, offering treatment and surgeries, catering to the patients from all over punjab. ke medical college attached to it"
Mayo Hospital,4,One of the busiest hospital of the south Asia. The legacy is 150 years old. After Mayo Hospital either patient becomes well or goes to the Allah. There are many things to be improved but overall it is worth an effort. Many buildings are old and holds the name of Hindus and Sikhs that lived here before partition. Mayo Hospital is a legacy.,one of the busiest hospital of the south asia. the legacy is 150 years old. after mayo hospital either patient becomes well or goes to the allah. there are many things to be improved but overall it is worth an effort. many buildings are old and holds the name of hindus and sikhs that lived here before partition. mayo hospital is a legacy.
Mayo Hospital,5,"Government mayo hospital  100%satisfied  ,good staff , nursing department is very good Drs are very cooperative . Very neat & clean there was canteen ,pharmacy all  facilities inside this hospital. ICU ward is also very  good  but  one issue is  some are untrained Drs on duty ... And death ratio is high all tests all medicines all things are free ..","government mayo hospital 100satisfied ,good staff , nursing department is very good drs are very cooperative . very neat clean there was canteen ,pharmacy all facilities inside this hospital. icu ward is also very good but one issue is some are untrained drs on duty ... and death ratio is high all tests all medicines all things are free .."
Government Teaching Hospital Shahdara,4,Government hospital in area. Good cooperative hospital staff. Free medicine free ECG,government hospital in area. good cooperative hospital staff. free medicine free ecg
Government Teaching Hospital Shahdara,2,"Very bad experience
DOCTOR SAYS take ur patients and Go too mayo hospital",very bad experience doctor says take ur patients and go too mayo hospital
Government Teaching Hospital Shahdara,3,Emergency service is better but outdoor Experience is very poor,emergency service is better but outdoor experience is very poor
Government Teaching Hospital Shahdara,5,Good job  but un nessasri Quation,good job but un nessasri quation
Government Teaching Hospital Shahdara,5,Good atmosphere but staff is so rude,good atmosphere but staff is so rude
Government Teaching Hospital Shahdara,5,Not helpful doctors vaist time  for patient's and staff not available during duty hours or not helpful for patients,not helpful doctors vaist time for patient's and staff not available during duty hours or not helpful for patients
Government Teaching Hospital Shahdara,5,Best for emergency patients especially GT Road For people from Shahdara to Muridke,best for emergency patients especially gt road for people from shahdara to muridke
Mayo Hospital,1,Mayo hospital is very Great hospital is very true good and caring doctors care,mayo hospital is very great hospital is very true good and caring doctors care
Mayo Hospital,5,Very cooperative staff . Thank you,very cooperative staff . thank you
Mayo Hospital,5,My Father admit in niphrology ward,my father admit in niphrology ward
Mayo Hospital,5,"The hospital environment was clean and well-managed. The medical team responded quickly and professionally. I truly appreciate their dedication and service.""","the hospital environment was clean and well-managed. the medical team responded quickly and professionally. i truly appreciate their dedication and service."""
Mayo Hospital,4,"The facility is clean, well-organized, and equipped with modern medical technology. I highly recommend  for anyone seeking quality healthcare.""","the facility is clean, well-organized, and equipped with modern medical technology. i highly recommend for anyone seeking quality healthcare."""
Mayo Hospital,1,"I have been standing in the outpatient queue at Mayo Hospital for the last two hours, and there is no electricity. People are just standing helplessly in the lines","i have been standing in the outpatient queue at mayo hospital for the last two hours, and there is no electricity. people are just standing helplessly in the lines"
Mayo Hospital,1,"I have faced a ridiculous doctor named Dr.Faizan Elahi in emergency Ward floor 3rd in ladies surgical room on 08/08/2025. He behaved rudely not with only us but with other patients as well.
This type of behavior is totally unacceptable specially if you are suffering in a chronic disease.
I request you to higher authorities to take some serious action against this Dr. Faizan elahi who kicked me off the room and also behaving badly with others as well.",i have faced a ridiculous doctor named dr.faizan elahi in emergency ward floor 3rd in ladies surgical room on 08082025. he behaved rudely not with only us but with other patients as well. this type of behavior is totally unacceptable specially if you are suffering in a chronic disease. i request you to higher authorities to take some serious action against this dr. faizan elahi who kicked me off the room and also behaving badly with others as well.
Mayo Hospital,5,A nice n historic medical facility with modern age equipments and doctors,a nice n historic medical facility with modern age equipments and doctors
Mayo Hospital,1,"The treatment here is very bad, and the doctor sitting on the seat, Dr. M. Noman (4:00am to 5:00am shift), doesn’t even know how to speak to patients respectfully. He talks as if the hospital belongs to his father. Please replace the doctor.....","the treatment here is very bad, and the doctor sitting on the seat, dr. m. noman 400am to 500am shift, doesnt even know how to speak to patients respectfully. he talks as if the hospital belongs to his father. please replace the doctor....."
Mayo Hospital,5,"Best doctors giving you best treatment but lot of issues regarding cleanliness and medical facilities like beds,drip stands etc","best doctors giving you best treatment but lot of issues regarding cleanliness and medical facilities like beds,drip stands etc"
